Date,Hour,Total Market Demand,Ontario Demand
01-Jan-16,1,16767,13417
01-Jan-16,2,16751,12968
01-Jan-16,3,16319,12395
01-Jan-16,4,16148,12228
01-Jan-16,5,16054,12116
01-Jan-16,6,16100,12257
01-Jan-16,7,16416,12528
01-Jan-16,8,16711,12820
01-Jan-16,9,16688,12986
01-Jan-16,10,17066,13569
01-Jan-16,11,17598,13965
01-Jan-16,12,17943,14215
01-Jan-16,13,18289,14443
01-Jan-16,14,18586,14733
01-Jan-16,15,18373,14907
01-Jan-16,16,18374,14981
01-Jan-16,17,18963,15763
01-Jan-16,18,20100,16979
01-Jan-16,19,19972,16859
01-Jan-16,20,19554,16552
01-Jan-16,21,19137,16165
01-Jan-16,22,18814,15701
01-Jan-16,23,17782,14866
01-Jan-16,24,17442,14023
02-Jan-16,1,17064,13251
02-Jan-16,2,16789,12844
02-Jan-16,3,16564,12673
02-Jan-16,4,16312,12473
02-Jan-16,5,16479,12468
02-Jan-16,6,16481,12644
02-Jan-16,7,16962,13064
02-Jan-16,8,17143,13780
02-Jan-16,9,17560,14305
02-Jan-16,10,18248,15068
02-Jan-16,11,18700,15536
02-Jan-16,12,18835,15852
02-Jan-16,13,18853,16059
02-Jan-16,14,18348,15750
02-Jan-16,15,18418,15564
02-Jan-16,16,18679,15571
02-Jan-16,17,19226,16207
02-Jan-16,18,20347,17163
02-Jan-16,19,20289,17100
02-Jan-16,20,19972,16710
02-Jan-16,21,19054,16124
02-Jan-16,22,18972,15699
02-Jan-16,23,18312,14983
02-Jan-16,24,17878,14164
03-Jan-16,1,17408,13432
03-Jan-16,2,16592,12916
03-Jan-16,3,16499,12588
03-Jan-16,4,16362,12450
03-Jan-16,5,16319,12443
03-Jan-16,6,16512,12624
03-Jan-16,7,16929,12973
03-Jan-16,8,17351,13613
03-Jan-16,9,17314,14155
03-Jan-16,10,17773,14696
03-Jan-16,11,18412,15182
03-Jan-16,12,18480,15434
03-Jan-16,13,18720,15650
03-Jan-16,14,18524,15533
03-Jan-16,15,18463,15602
03-Jan-16,16,18645,15748
03-Jan-16,17,19743,16863
03-Jan-16,18,21242,18423
03-Jan-16,19,21258,18512
03-Jan-16,20,21009,18316
03-Jan-16,21,20191,18006
03-Jan-16,22,19909,17347
03-Jan-16,23,19138,16606
03-Jan-16,24,18275,15533
04-Jan-16,1,17965,14809
04-Jan-16,2,17629,14480
04-Jan-16,3,17406,14295
04-Jan-16,4,17184,14213
04-Jan-16,5,17536,14435
04-Jan-16,6,18269,15147
04-Jan-16,7,19542,16532
04-Jan-16,8,21171,18240
04-Jan-16,9,21362,18522
04-Jan-16,10,21695,18225
04-Jan-16,11,21213,17912
04-Jan-16,12,21218,17733
04-Jan-16,13,20870,17597
04-Jan-16,14,21146,17619
04-Jan-16,15,21192,17758
04-Jan-16,16,21706,18327
04-Jan-16,17,22939,19437
04-Jan-16,18,24010,20820
04-Jan-16,19,23703,20836
04-Jan-16,20,23102,20502
04-Jan-16,21,23028,20255
04-Jan-16,22,22404,19533
04-Jan-16,23,21205,18358
04-Jan-16,24,19817,17238
05-Jan-16,1,19386,16429
05-Jan-16,2,19071,15996
05-Jan-16,3,19015,15916
05-Jan-16,4,18882,15878
05-Jan-16,5,18859,15947
05-Jan-16,6,20075,16466
05-Jan-16,7,21834,17974
05-Jan-16,8,22913,19374
05-Jan-16,9,23441,19356
05-Jan-16,10,22903,18899
05-Jan-16,11,22889,18547
05-Jan-16,12,22431,18080
05-Jan-16,13,21288,17610
05-Jan-16,14,20761,17456
05-Jan-16,15,20746,17516
05-Jan-16,16,21220,18038
05-Jan-16,17,22494,19311
05-Jan-16,18,23364,20277
05-Jan-16,19,23629,20202
05-Jan-16,20,23262,19893
05-Jan-16,21,22462,19445
05-Jan-16,22,21746,18648
05-Jan-16,23,20463,17341
05-Jan-16,24,18834,16055
06-Jan-16,1,18164,15187
06-Jan-16,2,17916,14784
06-Jan-16,3,17921,14522
06-Jan-16,4,17944,14476
06-Jan-16,5,17898,14586
06-Jan-16,6,18240,15148
06-Jan-16,7,19457,16504
06-Jan-16,8,21644,18112
06-Jan-16,9,21583,18213
06-Jan-16,10,20947,17600
06-Jan-16,11,20417,17234
06-Jan-16,12,20044,16927
06-Jan-16,13,19796,16619
06-Jan-16,14,20216,16678
06-Jan-16,15,20289,16707
06-Jan-16,16,20416,16869
06-Jan-16,17,21450,18146
06-Jan-16,18,22628,19353
06-Jan-16,19,22286,19400
06-Jan-16,20,22086,19105
06-Jan-16,21,21468,18731
06-Jan-16,22,20966,17971
06-Jan-16,23,20030,16841
06-Jan-16,24,18766,15669
07-Jan-16,1,17925,14795
07-Jan-16,2,17477,14398
07-Jan-16,3,17506,14210
07-Jan-16,4,17330,14198
07-Jan-16,5,17561,14356
07-Jan-16,6,18298,15122
07-Jan-16,7,19402,16439
07-Jan-16,8,20710,18000
07-Jan-16,9,20873,17989
07-Jan-16,10,20476,17460
07-Jan-16,11,20463,17154
07-Jan-16,12,20337,17075
07-Jan-16,13,20063,16841
07-Jan-16,14,19922,16657
07-Jan-16,15,20161,16832
07-Jan-16,16,20342,17142
07-Jan-16,17,20893,18087
07-Jan-16,18,21801,19131
07-Jan-16,19,21920,19211
07-Jan-16,20,21940,18958
07-Jan-16,21,21576,18591
07-Jan-16,22,20690,17832
07-Jan-16,23,19625,16564
07-Jan-16,24,18367,15403
08-Jan-16,1,17846,14684
08-Jan-16,2,17379,14114
08-Jan-16,3,17334,13994
08-Jan-16,4,17339,13986
08-Jan-16,5,17507,14133
08-Jan-16,6,17588,14624
08-Jan-16,7,18914,16024
08-Jan-16,8,20228,17529
08-Jan-16,9,20360,17727
08-Jan-16,10,20107,17550
08-Jan-16,11,20171,17523
08-Jan-16,12,20015,17427
08-Jan-16,13,19769,17308
08-Jan-16,14,19934,17384
08-Jan-16,15,19841,17296
08-Jan-16,16,20025,17413
08-Jan-16,17,20731,17963
08-Jan-16,18,21291,18801
08-Jan-16,19,21578,18689
08-Jan-16,20,21318,18526
08-Jan-16,21,21049,18054
08-Jan-16,22,20508,17492
08-Jan-16,23,19267,16343
08-Jan-16,24,17841,14973
09-Jan-16,1,17204,14235
09-Jan-16,2,16935,13547
09-Jan-16,3,16624,13157
09-Jan-16,4,16523,12976
09-Jan-16,5,16564,12885
09-Jan-16,6,16751,13137
09-Jan-16,7,16884,13460
09-Jan-16,8,17291,14239
09-Jan-16,9,18551,15186
09-Jan-16,10,19057,15772
09-Jan-16,11,19085,16164
09-Jan-16,12,19186,16377
09-Jan-16,13,19218,16432
09-Jan-16,14,18921,16235
09-Jan-16,15,19227,16220
09-Jan-16,16,19253,16313
09-Jan-16,17,19731,16845
09-Jan-16,18,20159,17628
09-Jan-16,19,20193,17574
09-Jan-16,20,19638,16880
09-Jan-16,21,18987,16215
09-Jan-16,22,18378,15522
09-Jan-16,23,17681,14844
09-Jan-16,24,17261,14031
10-Jan-16,1,16722,13297
10-Jan-16,2,16258,12752
10-Jan-16,3,16201,12486
10-Jan-16,4,16189,12401
10-Jan-16,5,16348,12346
10-Jan-16,6,16555,12653
10-Jan-16,7,17001,13241
10-Jan-16,8,17155,13957
10-Jan-16,9,17029,14330
10-Jan-16,10,17811,15001
10-Jan-16,11,18620,15696
10-Jan-16,12,18814,16008
10-Jan-16,13,18890,16100
10-Jan-16,14,18867,16004
10-Jan-16,15,18947,15964
10-Jan-16,16,19319,16319
10-Jan-16,17,20197,17352
10-Jan-16,18,21342,18498
10-Jan-16,19,21159,18386
10-Jan-16,20,20465,17771
10-Jan-16,21,20205,17429
10-Jan-16,22,19530,16713
10-Jan-16,23,18947,15967
10-Jan-16,24,18405,15138
11-Jan-16,1,17719,14459
11-Jan-16,2,17017,14070
11-Jan-16,3,16956,13990
11-Jan-16,4,17060,14091
11-Jan-16,5,17948,14465
11-Jan-16,6,18345,15214
11-Jan-16,7,19797,16653
11-Jan-16,8,21327,18165
11-Jan-16,9,21246,18164
11-Jan-16,10,20747,17840
