Date,Hour,HOEP
1-Jan-16,1,-1.09
1-Jan-16,2,-2.41
1-Jan-16,3,-4.23
1-Jan-16,4,-4.4
1-Jan-16,5,-4.44
1-Jan-16,6,-4.43
1-Jan-16,7,-4.33
1-Jan-16,8,-4.3
1-Jan-16,9,-4.27
1-Jan-16,10,-4.28
1-Jan-16,11,-3.76
1-Jan-16,12,0
1-Jan-16,13,0
1-Jan-16,14,0
1-Jan-16,15,0
1-Jan-16,16,0
1-Jan-16,17,1
1-Jan-16,18,6.34
1-Jan-16,19,5.88
1-Jan-16,20,5.81
1-Jan-16,21,5.7
1-Jan-16,22,6.51
1-Jan-16,23,2.75
1-Jan-16,24,0.49
2-Jan-16,1,0
2-Jan-16,2,0
2-Jan-16,3,-0.85
2-Jan-16,4,-4.12
2-Jan-16,5,-4.1
2-Jan-16,6,-4.26
2-Jan-16,7,-1.64
2-Jan-16,8,-1.29
2-Jan-16,9,3.61
2-Jan-16,10,7.49
2-Jan-16,11,12.36
2-Jan-16,12,10.72
2-Jan-16,13,11.25
2-Jan-16,14,0
2-Jan-16,15,0
2-Jan-16,16,0
2-Jan-16,17,2.96
2-Jan-16,18,5.85
2-Jan-16,19,5.6
2-Jan-16,20,1.82
2-Jan-16,21,0
2-Jan-16,22,0
2-Jan-16,23,0
2-Jan-16,24,0
3-Jan-16,1,-0.35
3-Jan-16,2,-4.26
3-Jan-16,3,-4.27
3-Jan-16,4,-4.3
3-Jan-16,5,-4.36
3-Jan-16,6,-4.17
3-Jan-16,7,-2.64
3-Jan-16,8,-0.25
3-Jan-16,9,-0.37
3-Jan-16,10,0
3-Jan-16,11,0
3-Jan-16,12,0
3-Jan-16,13,0.76
3-Jan-16,14,0
3-Jan-16,15,5.17
3-Jan-16,16,5.89
3-Jan-16,17,9.27
3-Jan-16,18,21.67
3-Jan-16,19,20.89
3-Jan-16,20,52.45
3-Jan-16,21,22.63
3-Jan-16,22,26.69
3-Jan-16,23,14.64
3-Jan-16,24,8.1
4-Jan-16,1,6.36
4-Jan-16,2,5.6
4-Jan-16,3,-0.02
4-Jan-16,4,-4.1
4-Jan-16,5,-0.93
4-Jan-16,6,1.32
4-Jan-16,7,9.81
4-Jan-16,8,18.86
4-Jan-16,9,15.91
4-Jan-16,10,14.51
4-Jan-16,11,5.89
4-Jan-16,12,14.34
4-Jan-16,13,13.89
4-Jan-16,14,13.31
4-Jan-16,15,11.49
4-Jan-16,16,16.53
4-Jan-16,17,30.79
4-Jan-16,18,48.69
4-Jan-16,19,39.26
4-Jan-16,20,37.12
4-Jan-16,21,30.54
4-Jan-16,22,27.53
4-Jan-16,23,25.26
4-Jan-16,24,25.69
5-Jan-16,1,61.53
5-Jan-16,2,29.23
5-Jan-16,3,27.51
5-Jan-16,4,26.15
5-Jan-16,5,14.34
5-Jan-16,6,15.2
5-Jan-16,7,29.57
5-Jan-16,8,39.33
5-Jan-16,9,76.26
5-Jan-16,10,29.53
5-Jan-16,11,29.02
5-Jan-16,12,27.6
5-Jan-16,13,24.44
5-Jan-16,14,8.13
5-Jan-16,15,5.98
5-Jan-16,16,12.1
5-Jan-16,17,29.74
5-Jan-16,18,31.7
5-Jan-16,19,29.86
5-Jan-16,20,30.6
5-Jan-16,21,22.78
5-Jan-16,22,17.44
5-Jan-16,23,4.83
5-Jan-16,24,3.1
6-Jan-16,1,0.38
6-Jan-16,2,0
6-Jan-16,3,0
6-Jan-16,4,0
6-Jan-16,5,-0.25
6-Jan-16,6,0.81
6-Jan-16,7,9.99
6-Jan-16,8,15.56
6-Jan-16,9,15.96
6-Jan-16,10,14.06
6-Jan-16,11,12.7
6-Jan-16,12,12.71
6-Jan-16,13,9.01
6-Jan-16,14,6.54
6-Jan-16,15,5.91
6-Jan-16,16,19.86
6-Jan-16,17,22.54
6-Jan-16,18,51.64
6-Jan-16,19,20.87
6-Jan-16,20,19.39
6-Jan-16,21,15.54
6-Jan-16,22,16.18
6-Jan-16,23,15.93
6-Jan-16,24,12.32
7-Jan-16,1,7.27
7-Jan-16,2,5.88
7-Jan-16,3,7.48
7-Jan-16,4,10.23
7-Jan-16,5,12.75
7-Jan-16,6,15.4
7-Jan-16,7,30.93
7-Jan-16,8,27.5
7-Jan-16,9,18.44
7-Jan-16,10,16.71
7-Jan-16,11,25.15
7-Jan-16,12,24.19
7-Jan-16,13,21.96
7-Jan-16,14,20.53
7-Jan-16,15,21.48
7-Jan-16,16,24.42
7-Jan-16,17,19.27
7-Jan-16,18,26.1
7-Jan-16,19,25.62
7-Jan-16,20,24.73
7-Jan-16,21,19.53
7-Jan-16,22,25.86
7-Jan-16,23,18.26
7-Jan-16,24,15.49
8-Jan-16,1,11.5
8-Jan-16,2,5.99
8-Jan-16,3,13.33
8-Jan-16,4,15.31
8-Jan-16,5,14.35
8-Jan-16,6,7.75
8-Jan-16,7,14.92
8-Jan-16,8,27.42
8-Jan-16,9,13.35
8-Jan-16,10,16.65
8-Jan-16,11,68.61
8-Jan-16,12,30.99
8-Jan-16,13,14.35
8-Jan-16,14,23.31
8-Jan-16,15,22.39
8-Jan-16,16,19.78
8-Jan-16,17,16.5
8-Jan-16,18,14.37
8-Jan-16,19,15.07
8-Jan-16,20,16.88
8-Jan-16,21,19.82
8-Jan-16,22,29.07
8-Jan-16,23,8.93
8-Jan-16,24,1.97
9-Jan-16,1,-0.93
9-Jan-16,2,-1
9-Jan-16,3,-3.92
9-Jan-16,4,-4.1
9-Jan-16,5,-4.22
9-Jan-16,6,-4.04
9-Jan-16,7,-1.96
9-Jan-16,8,-0.25
9-Jan-16,9,5.81
9-Jan-16,10,13.64
9-Jan-16,11,16.63
9-Jan-16,12,14.34
9-Jan-16,13,10.88
