Year,Month,GA
2005,April,-5.4
2005,August,-17.82
2005,December,-14.82
2005,February,2.78
2005,January,1.44
2005,July,-12.31
2005,June,-7.06
2005,March,2.01
2005,May,-1.55
2005,November,-3.57
2005,October,-11.66
2005,September,-21.37
2006,April,6.15
2006,August,-0.66
2006,December,10.14
2006,February,4.26
2006,January,-2.4
2006,July,1.02
2006,June,2.85
2006,March,2.36
2006,May,3.1
2006,November,3.79
2006,October,10.55
2006,September,13.46
2007,April,4.72
2007,August,0.3
2007,December,4.56
2007,February,-5.5
2007,January,6.81
2007,July,6.37
2007,June,6.23
2007,March,-0.37
2007,May,10.4
2007,November,6.5
2007,October,3.52
2007,September,4.77
2008,April,5.73
2008,August,7.26
2008,December,13.08
2008,February,3.44
2008,January,8.69
2008,July,3.26
2008,June,-0.1
2008,March,1.02
2008,May,15.42
2008,November,4.98
2008,October,8.04
2008,September,2.99
2009,April,37.96
2009,August,37.5
2009,December,31.05
2009,February,12.83
2009,January,1.21
2009,July,41.72
2009,June,37.74
2009,March,27.79
2009,May,31.42
2009,November,40.79
2009,October,34.49
2009,September,39.8
2010,April,35.6
2010,August,12.25
2010,December,32.27
2010,February,25.91
2010,January,27
2010,July,7.5
2010,June,24.66
2010,March,39.07
2010,May,24.34
2010,November,34.14
2010,October,40.34
2010,September,28.42
2011,April,43.9
2011,August,36.6
2011,December,47.2
2011,February,35.2
2011,January,37
2011,July,31.3
2011,June,40.5
2011,March,36.8
2011,May,50.1
2011,November,43.5
2011,October,45.4
2011,September,38.5
2012,April,60.7
2012,August,41.8
2012,December,40.6
2012,February,50.6
2012,January,42.5
2012,July,33.6
2012,June,52.3
2012,March,62.3
2012,May,56.5
2012,November,54.3
2012,October,53.8
2012,September,47.6
2013,April,58.6
2013,August,62.4
2013,December,50.7
2013,February,48.1
2013,January,50
2013,July,50.9
2013,June,70.4
2013,March,49.3
2013,May,67.6
2013,November,78.6
2013,October,63.1
2013,September,66.6
2014,April,51.98
2014,August,67.61
2014,December,74.44
2014,February,13.3
2014,January,12.61
2014,July,62.56
2014,June,60.25
2014,March,-0.27
2014,May,71.96
2014,November,82.32
2014,October,100.14
2014,September,79.63
2015,April,95.59
2015,August,80.1
2015,December,94.71
2015,February,39.61
2015,January,50.68
2015,July,78.83
2015,June,95.4
2015,March,62.9
2015,May,96.68
2015,November,113.2
2015,October,75.44
2015,September,67.03
2016,April,111.32
2016,August,71.03
2016,February,98.51
2016,January,91.79
2016,July,83.06
2016,June,95.45
2016,March,106.1
2016,May,107.49
2016,September,95.31
